Volume Set,Volume,Part Number,E.C.,Card Code,Gate Number,T##,Logic Family,IBM +,IBM -,Logic,Latch,O.C.,Input Lev.,Output Lev.,Defining Pin,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Name
,,370207,115990,DEZ,3,,SDTRL,T,T,Trigger,G4,,S,,P,,,O,,,,,,,,,,,P,Q,R,,,,"I,O",,,,,,,,,
,,370207,115990,DEZ,4,,SDTRL,T,T,Trigger,G3,,S,,K,,,,O,,,,,,K,L,,,,,R,,,"I,O",,,,,,,,,,
,,370208,115990,DEY,1,,SDTRL,IP,IP,NOT,,,S,,C,,,O,,,,,,,,,,,,,,,,G3,,,,,,,,,,SDTRL MUP NUMBER 10
,,370208,115990,DEY,2,,SDTRL,IP,IP,NOT,,,S,,D,,,,O,,,,,,,,,,,,,,,,G4,,,,,,,,,
,,370208,115990,DEY,3,,SDTRL,T,T,Trigger,G4,,S,,H,,O,,,,,,H,,K,,,,P,,,O,,,"I,O",,,,,,,,,
,,370208,115990,DEY,4,,SDTRL,T,T,Trigger,G3,,S,,A,A,,,,E,O,,,,,,,,,,,,O,"I,O",,,,,,,,,,
,,370208,115990,DEY,5,,SDTRL,+A,-O,NAND,,,S,,L,,,,,,,O,,,,L,,,,Q,R,,,,,,,,,,,,,
,,370209,113945,DFG,1,T9,SDTRL,+A,-O,NAND,,,S,,D,,,,D,E,F,,,,,,,,,,,,O,,,,,,,,,,,SDTRL MUP NUMBER 18
,,370209,113945,DFG,2,T6,SDTRL,+A,-O,NAND,,,S,,C,,,O,,,,,,,,,,,,,,G1,,G3,,,,,,,,,,
,,370209,113945,DFG,3,T4,SDTRL,+A,-O,NAND,,,S,,G,,,,,,,G,H,,,,,,,,R,,O,,,,,,,,,,,
,,370209,113945,DFG,4,T8,SDTRL,+A,-O,NAND,,,S,,P,,O,,,,,,,,,,,,P,Q,,,,,,,,,,,,,,
,,370209,113945,DFG,5,T7,SDTRL,+A,-O,NAND,,,S,,K,O,,,,,,,,,K,L,,,,,,,,,,,,,,,,,,
,,370210,113945,DEX,1,T9,SDTRL,+A,-O,NAND,,,S,,D,,,,D,E,F,,,,,,,,,,,,O,,,,,,,,,,,SDTRL MUP NUMBER 9
,,370210,113945,DEX,2,T6,SDTRL,+A,-O,NAND,,,S,,C,,,O,,,,,,,,,,,,,,G1,,G3,,,,,,,,,,
,,370210,113945,DEX,3,T4,SDTRL,+A,-O,NAND,,,S,,G,,,,,,,G,H,,,,,,,,,,O,,,,,,,,,,,
,,370210,113945,DEX,4,T8,SDTRL,+A,-O,NAND,,,S,,P,,O,,,,,,,,,,,,P,Q,R,,,,,,,,,,,,,
,,370210,113945,DEX,5,T7,SDTRL,+A,-O,NAND,,,S,,K,O,,,,,,,,,K,L,,,,,,,,,,,,,,,,,,
,,370211,116194,DEW,1,,SDTRL,+A,-O,NAND,,,S,,A,A,O,,,,,,,,,L,,,,,,,,,,,,,,,,,,MUP NUMBER 8
,,370211,116194,DEW,2,,SDTRL,+A,-O,NAND,,,S,,H,,,,,,,O,H,,,L,,,,,,,,,,,,,,,,,,
,,370211,116194,DEW,3,,SDTRL,+A,-O,NAND,,,S,,P,,,,O,,,,,,,L,,,P,,,,,,,,,,,,,,,
,,370211,116194,DEW,4,,SDTRL,+A,-O,NAND,,,S,,Q,,,,,O,,,,,,L,,,,Q,,,,,,,,,,,,,,
,,370211,116194,DEW,5,,SDTRL,+A,-O,NAND,,,S,,R,,,,,,O,,,,,L,,,,,R,,,,,,,,,,,,,
,,370211,116194,DEW,6,,SDTRL,I,I,NOT,,,S,,K,,,O,,,,,,,K,,,,,,,,,,,,,,,,,,,
,,370212,116194,DEQ,1,,SDTRL,+A,-O,NAND,,,S,,E,,,,,E,F,,,,,,,,,Q,,,O,,,,,,,,,,,MUP MUMBER 3
,,370212,116194,DEQ,2,,SDTRL,I,I,NOT,,,S,,R,,,,,,,,,,,,,,,,O,G1,,,,,,,,,,,,
,,370212,116194,DEQ,3,,SDTRL,+A,-O,NAND,,,S,,B,,B,C,,,,,,,,,,,P,,,,,,,,O,,,,,,,
,,370212,116194,DEQ,4,,SDTRL,+A,-O,NAND,,,S,,G,,,,,,,G,O,,K,L,,,,,,,,,,O,,,,,,,,
,,370212,116194,DEQ,5,,SDTRL,I,I,NOT,,,S,,A,O,,,,,,,,,,,,,,,,,,,G4,,,,,,,,,
,,370212,116194,DEQ,6,,SDTRL,I,I,NOT,,,S,,D,,,,O,,,,,,,,,,,,,,,G3,,,,,,,,,,
,,370213,113945,DER,1,,SDTRL,+A,-O,NAND,,,S,,P,,,,,,,,,,,,,,P,,R,,O,DOT,,,,,,,,,,MUP NUMBER 4
,,370213,113945,DER,2,,SDTRL,I,I,NOT,,,S,,H,,,,,,,,O,,,,,,,,,DIT,,DIT,,,,,,,,,,
,,370213,113945,DER,3,,SDTRL,+A,-O,NAND,,OC,S,,A,A,B,,,,F,,,,,,,,,,,DOT,O,,,,,,,,,,,
,,370213,113945,DER,4,,SDTRL,+A,-O,NAND,,,S,,C,,,C,D,,,G,,,,,,,,,,,,,,O,DOT,,,,,,,
,,370213,113945,DER,5,,SDTRL,I,I,NOT,,,S,,E,,,,,O,,,,,,,,,,,,,,,DIT,,DIT,,,,,,,
,,370213,113945,DER,6,,SDTRL,+A,-O,NAND,,OC,S,,K,,,,,,,,,,K,L,,,,Q,,,,,DOT,O,,,,,,,,
,,370214,113945,DEV,1,T6,SDTRL,+A,-O,NAND,,,S,,C,,,C,,,,,,,K,,,,,,,,,,O,,,,,,,,,SDTRL MUP NUMBER 7
,,370214,113945,DEV,2,T2,SDTRL,+A,-O,NAND,,,S,,F,,,,,,F,G,,,,,,,,,,,,O,,,,,,,,,,
,,370214,113945,DEV,3,T1,SDTRL,+A,-O,NAND,,,S,,A,O,,,,,,,,,,,,,,,,,G2,,,,G6,,,,,,,
,,370214,113945,DEV,4,T4,SDTRL,+A,-O,NAND,,,S,,E,,,,,O,,,,,,,,,,,,G1,,,,G4,,,,,,,,
,,370214,113945,DEV,5,T5,SDTRL,+A,-O,NAND,,,S,,D,,,,D,,,,,,,,,,,,R,,,,O,,,,,,,,,
,,370214,113945,DEV,6,T3,SDTRL,+A,-O,NAND,,,S,,H,,,,,,,,H,,,L,,,,,,,,O,,,,,,,,,,
,,370214,113945,DEV,7,T8,SDTRL,+A,-O,NAND,,,S,,Q,,O,,,,,,,,,,,,P,Q,,,,,,,,,,,,,,
,,370215,113945,AEK,1,,SDTRL,IP,IP,NOT,,,S,,D,,,O,D,DIT,,,,,,,,,,,,,,,,,,,,,,,,SDTRL 40 BASE INVERTING MESA ALLOY POWER DRIVER
,,370215,113945,AEK,2,,SDTRL,IP,IP,NOT,,,S,,F,O,,,,,F,DIT,,,,,,,,,,,,,,,,,,,,,,
,,370215,113945,AEK,3,,SDTRL,IP,IP,NOT,,,S,,P,,DIT,,,,,,O,,,,,,P,,,,,,,,,,,,,,,
,,370216,121009,DEF,1,,SDTDL,-A,+O,NOR,,,Y,,A,A,B,,,,,O,,,,,,,,,,,,,,,,,,,,,,SDTDL - FOUR 2 WAY N AND LOGIC BLOCKS WITH LOADS
,,370216,121009,DEF,2,,SDTDL,-A,+O,NOR,,,Y,,D,,,O,D,E,,,,,,,,,,,,,,,,,,,,,,,,
,,370216,121009,DEF,3,,SDTDL,-A,+O,NOR,,,Y,,H,,,,,,O,,H,,,L,,,,,,,,,,,,,,,,,,
,,370216,121009,DEF,4,,SDTDL,-A,+O,NOR,,,Y,,P,,,,,,,,,,,,,,P,Q,O,,,,,,,,,,,,,
,,370217,121009,DEG,1,,SDTDL,-A,+O,NOR,,OC,Y,,A,A,B,,,,,O,,,,,,,,,,,,,,,,,,,,,,SDTDL FOUR 2-WAY N AND LOGIC BLOCKS WITHOUT LOADS
,,370217,121009,DEG,2,,SDTDL,-A,+O,NOR,,OC,Y,,D,,,O,D,E,,,,,,,,,,,,,,,,,,,,,,,,
,,370217,121009,DEG,3,,SDTDL,-A,+O,NOR,,OC,Y,,H,,,,,,O,,H,,,L,,,,,,,,,,,,,,,,,,
,,370217,121009,DEG,4,,SDTDL,-A,+O,NOR,,OC,Y,,P,,,,,,,,,,,,, ,P,Q,O,,,,,,,,,,,,,
,,370218,114383,DEH,1,,SDTDL,-A,+O,NOR,,,Y,,E,,,,,E,F,G,,,,O,,,,,,,,,,,,,,,,,,SDTDL - THREE 3-WAY N AND LOGIC BLOCKS WITH LOADS
,,370218,114383,DEH,2,,SDTDL,-A,+O,NOR,,,Y,,A,A,B,O,D,,,,,,,,,,,,,,,,,,,,,,,,,
,,370218,114383,DEH,3,,SDTDL,-A,+O,NOR,,,Y,,H,,,,,,,,H,,,,,,O,Q,R,,,,,,,,,,,,,
,,370219,114383,DEJ,1,,SDTDL,-A,+O,NOR,,OC,Y,,E,,,,,E,F,G,,,,O,,,,,,,,,,,,,,,,,,SDTDL THREE 3-WAY N AND LOGIC BLOCKS WITHOUT LOADS
,,370219,114383,DEJ,2,,SDTDL,-A,+O,NOR,,OC,Y,,H,,,,,,,,H,,,,,,O,Q,R,,,,,,,,,,,,,
,,370219,114383,DEJ,3,,SDTDL,-A,+O,NOR,,OC,Y,,A,A,B,O,D,,,,,,,,,,,,,,,,,,,,,,,,,
,,370220,114383,DEK,1,,SDTDL,-A,+O,NOR,,,Y,,A,A,B,C,D,E,,O,,,,,,,,,,,,,,,,,,,,,,SDTDL - TWO 5-WAY N AND LOGIC BLOCKS WITH LOADS
,,370220,114383,DEK,2,,SDTDL,-A,+O,NOR,,,Y,,F,,,,,,F,,H,,,L,,,O,Q,R,,,,,,,,,,,,,
